Id,SalePrice
2658,161359.2690064335
2718,234835.47606579596
2414,226563.58862232446
1989,76170.14141389864
625,168041.32766897685
333,141793.99001035286
1327,129272.98479158306
858,169347.024388474
95,236703.9871641146
1568,171628.07858111372
2482,181438.4145564831
1364,87419.92052013634
2584,159767.06312432172
818,305330.3640831073
2673,168484.33135915568
2089,158214.06757156318
1297,149062.61111381982
790,123486.23345374684
2616,203234.41881472804
720,114282.35817046317
222,133351.02242098612
557,97967.85325774454
1148,221790.79140952812
2766,128626.52122557967
534,195260.3959354869
1452,110618.91058606168
630,154017.80122843143
2648,115986.84252396872
125,127273.16395384457
1904,47049.25154846901
1670,109628.25952357284
756,107640.4660183173
717,171139.5404141576
1032,155726.6262841376
852,217749.43996648033
1731,221856.4132732321
2639,150407.09612402046
2071,103701.31555075699
1267,97961.59433021367
1851,204387.64616952275
567,198066.91097953112
2439,251008.82006790955
1898,158938.11617167186
647,152196.79469641592
2256,205952.20071989697
979,170234.15011898536
1444,244332.78134691674
2485,121061.95205494214
157,103019.96109244197
88,125373.09250508776
2003,119647.42973854161
186,159094.41886773493
1425,236374.68771066004
2695,141341.3452876345
738,98604.7249515187
395,130826.99246868672
1353,166885.37107982583
1878,159691.60234538774
390,158578.2996736701
1456,249420.11854960202
1103,257651.51854833215
1387,95192.93825486228
2070,140725.67180204985
1199,203174.7538671582
2479,221610.74955184903
501,256354.75345527192
2362,110682.51430093258
1718,204732.769894891
2188,52809.55827768787
1483,141697.79712012442
2557,43543.70502068938
437,298435.3511284743
2224,182960.57287513395
1628,207399.39218083996
397,136221.17301462803
587,202419.9824757242
971,198857.2341436118
2611,149693.0192545106
1887,100898.96092850609
2399,249126.53053693162
2148,217736.74078475343
304,89965.3590424275
1997,131644.0665316992
2817,119543.4773477465
1431,232106.94819632228
427,269662.987429353
263,110471.1868821943
598,168729.54227393877
2895,218935.93382279397
687,162159.11520956724
1822,121765.9718380151
2191,109298.53965854783
179,125259.72598043813
1009,177445.2494573907
2010,132064.33228442515
1991,155441.9151958797
1411,172970.69916406233
1721,230909.256160317
1144,235396.06399320104
593,233322.56509109505
575,210471.17475326173
1249,198263.02811705825
1604,132659.67880031702
1064,292431.39378734794
1923,147656.33167646115
1988,83536.9719665449
2325,213331.98416141528
114,226082.35296029333
2700,217772.984669741
217,209988.0633151087
343,183655.12883039826
386,249048.92121801845
2005,154162.6129222792
2908,187967.3586625213
1814,216885.36795178425
2446,340543.47992327815
208,137795.39326143867
1679,167833.85268729937
822,245314.77044824263
6,223807.78093054448
1781,265336.72316169075
2397,265625.0684928727
2340,244818.83945502975
1618,213531.88628497606
2843,184108.86025735756
1061,286327.50917728536
2786,112727.4201407812
1935,113552.2161587012
1341,104361.05039457454
521,227645.47169803086
2136,140176.71607909893
996,228893.563491195
227,176868.18757167997
135,140076.7553462872
1167,222017.7341026475
294,204157.96267248673
1776,213967.30899268406
540,179418.33731692052
1717,204732.769894891
2303,115144.02347390118
116,175144.9217424594
127,116767.01451008621
1371,116443.83072248723
1014,165421.97286867295
1507,123283.46137311112
702,204810.57793564379
750,151175.18043641045
261,181542.767740234
1559,55797.66216335408
577,218490.55588835172
2812,244260.5156708829
2080,182516.94092372316
1368,102242.65036340129
2376,113259.01761149218
659,46590.04505654477
1235,126758.69716593725
332,139685.48045563334
1917,107236.98020188102
2094,259633.9316560368
1460,277912.23161862144
1471,214681.79894452944
1509,129890.22235370269
1922,121217.00705082611
